CUST ACCT #,CUSTOMER NAME,SALES REP ID,SALES REP LAST NAME,USER LOGIN,OPPORTUNITY NAME,ESTIMATED_ANNUALIZED_SALES,ESTIMATED_ANNUALIZED_GP,ESTIMATED_ANNUALIZED_GP_PERCENT,ESTIMATED_MONTHLY_SALES,ESTIMATED_MONTHLY_GP,ESTIMATED_MONTHLY_GP_PERCENT,PREV12MO_SALES,PREV12MO_GP,PREV12MO_GP_PERCENT,MTD_SALES,MTD_GP,MTD_GP_PERCENT
"CS1207","BIG O TIRES HARTSEL DR.","169","JONES RICHARD","rjones","5Mile",180,66.6,37%,15,5.55,37%,872.000000,360.000000,41.28%,-424.890000,-106.930000,25.17%
"CS1201","BRAKES PLUS #121","169","JONES RICHARD","rjones","5mile",30000,10500,35%,2500,875,35%,266.000000,83.000000,31.50%,-90.410000,-48.600000,53.76%
"CS1160","BEST WEST TIRE & SERVICE","169","JONES RICHARD","rjones","5mile",18000,0,0,1500,0,0,1224.000000,361.000000,29.51%,114.060000,44.260000,38.80%
"CS1165","BIG O TIRES","169","JONES RICHARD","rjones","5mile",21000,7770,37%,1750,647.5,37%,508.000000,231.000000,45.45%,393.620000,132.340000,33.62%
"CS1164","BIERI AUTOMOTIVE","169","JONES RICHARD","rjones","5mile",14400,5040,35%,1200,420,35%,400.000000,111.000000,27.87%,19.940000,12.890000,64.64%
"TH3600","RANDY'S AUTO SERVICE","174","KIRBY JASON","jkirby","5mile",24000,8400,35%,2000,700,35%,487.000000,161.000000,33.22%,119.040000,30.020000,25.22%
"TH3204","PARIS TIRE AND SERVICE INC.","174","KIRBY JASON","jkirby","5mile",24000,8400,35%,2000,700,35%,578.000000,163.000000,28.30%,2794.350000,1156.230000,41.38%
"WE1148","ANDYS AUTOMOTIVE","174","KIRBY JASON","jkirby","5mile",24000,8400,35%,2000,700,35%,25.000000,9.000000,38.49%,119.710000,49.720000,41.53%
"TH1576","PREMIER AUTOMOTIVE REPAIR","174","KIRBY JASON","jkirby","5mile",24000,8400,35%,2000,700,35%,314.000000,104.000000,33.32%,449.250000,198.110000,44.10%
"TH1021","AMERICAN AUTO AND TRUCK","174","KIRBY JASON","jkirby","5mile",24000,8400,35%,2000,700,35%,90.000000,16.000000,17.88%,153.470000,47.510000,30.96%
"TH2752","LAUCK MOTORS INC","174","KIRBY JASON","jkirby","5mile",24000,0,0,2000,0,0,730.000000,222.000000,30.40%,407.050000,204.460000,50.23%
"TH1195","BRAKES PLUS #106","174","KIRBY JASON","jkirby","5mile",24000,8400,35%,2000,700,35%,461.000000,153.000000,33.32%,1271.490000,383.480000,30.16%
"WE2990","MOUNTAIN VIEW GARAGE","174","KIRBY JASON","jkirby","5mile",24000,8400,35%,2000,700,35%,0.000000,0.000000,,0.000000,0.000000,
"WE1115","AUTOMOTIVE TECH CENTER","174","KIRBY JASON","jkirby","5mile",24000,8400,35%,2000,700,35%,192.000000,61.000000,31.94%,39.780000,15.630000,39.29%
"TH1137","CANADY'S TIRE CORP","174","KIRBY JASON","jkirby","5mile",24000,8400,35%,2000,700,35%,322.000000,83.000000,25.81%,829.900000,293.650000,35.38%
"WE1230","ECONO LUBE N TUNE","174","KIRBY JASON","jkirby","5mile",24000,8400,35%,2000,700,35%,17.000000,0.000000,-5.01%,88.060000,58.280000,66.18%
"TH1659","FIRESTONE #012173 THORTON","174","KIRBY JASON","jkirby","5mile",24000,8400,35%,2000,700,35%,233.000000,77.000000,33.39%,1547.840000,465.520000,30.08%
"TH1029","ALTERNATIVE AUTO CARE","174","KIRBY JASON","jkirby","5mile",24000,8400,35%,2000,700,35%,74.000000,-1.000000,-2.00%,123.640000,44.160000,35.72%
"TH1154","BRAKES PLUS #109","174","KIRBY JASON","jkirby","5mile",24000,8400,35%,2000,700,35%,143.000000,54.000000,37.95%,-3.350000,-2.360000,70.45%
"WE3852","TIRES PLUS #256793 NORTHGLENN","174","KIRBY JASON","jkirby","5mile",24000,8400,35%,2000,700,35%,2.000000,0.000000,26.85%,0.000000,0.000000,
"TH3851","TIRES PLUS #265854 THORNTON","174","KIRBY JASON","jkirby","5mile",24000,8400,35%,2000,700,35%,0.000000,0.000000,,0.000000,0.000000,
"WE3859","TIRES PLUS #246651 WESTMINSTER","174","KIRBY JASON","jkirby","5mile",24000,8400,35%,2000,700,35%,0.000000,0.000000,,0.000000,0.000000,
"TH1760","FIFTH GEAR","174","KIRBY JASON","jkirby","5mile",24000,8400,35%,2000,700,35%,1246.000000,315.000000,25.33%,793.990000,279.130000,35.16%
"DE3722","SERVICE STREET","159","KLOBERDANZ (PARKER) SCOTT","skloberdanz","5mile",14400,5184,36%,1200,432,36%,0.000000,0.000000,,300.880000,68.050000,22.62%
"DE1193","BRAKES PLUS #134","159","KLOBERDANZ (PARKER) SCOTT","skloberdanz","5mile",18000,6120,34%,1500,510,34%,429.000000,127.000000,29.78%,704.650000,292.930000,41.57%
"DE1452","D & D TIRE SERVICE","159","KLOBERDANZ (PARKER) SCOTT","skloberdanz","5mile",18000,6120,34%,1500,510,34%,33.000000,13.000000,40.66%,0.000000,0.000000,
"DE1649","FIRESTONE #028762 PARKER","159","KLOBERDANZ (PARKER) SCOTT","skloberdanz","5mile",18000,6300,35%,1500,525,35%,14.000000,5.000000,38.03%,0.000000,0.000000,
"DE3855","THE AUTO CLINIC","159","KLOBERDANZ (PARKER) SCOTT","skloberdanz","5mile",14400,5184,36%,1200,432,36%,64.000000,24.000000,37.13%,667.430000,201.000000,30.12%
"DE2059","H & L AUTO","159","KLOBERDANZ (PARKER) SCOTT","skloberdanz","5mile",42000,14700,35%,3500,1225,35%,862.000000,237.000000,27.55%,1286.520000,375.340000,29.17%
"DE1308","COMMUNITY AUTOMOTIVE","159","KLOBERDANZ (PARKER) SCOTT","skloberdanz","5mile",18000,6120,34%,1500,510,34%,0.000000,0.000000,,0.000000,0.000000,
"DE1308","COMMUNITY AUTOMOTIVE","159","KLOBERDANZ (PARKER) SCOTT","skloberdanz","5mile",18000,6120,34%,1500,510,34%,0.000000,0.000000,,0.000000,0.000000,
"DE2076","HOT SHOTS AUTOMOTIVE INC","159","KLOBERDANZ (PARKER) SCOTT","skloberdanz","5mile",18000,6300,35%,1500,525,35%,766.000000,270.000000,35.25%,1221.930000,504.240000,41.27%
"DE3213","PARKER AUTOMOTIVE","159","KLOBERDANZ (PARKER) SCOTT","skloberdanz","5mile",42000,14700,35%,3500,1225,35%,607.000000,194.000000,31.96%,2589.290000,942.580000,36.40%
"DE2515","KELLERS PROFESSIONAL AUTO","159","KLOBERDANZ (PARKER) SCOTT","skloberdanz","5mile",18000,6300,35%,1500,525,35%,627.000000,184.000000,29.45%,1684.930000,598.700000,35.53%
"DE2086","INDEPENDENT AUTO CARE","159","KLOBERDANZ (PARKER) SCOTT","skloberdanz","5mile",18000,6300,35%,1500,525,35%,104.000000,27.000000,26.21%,552.090000,184.160000,33.36%
"DE1486","DIESEL REPAIR AND PERFORMANCE","159","KLOBERDANZ (PARKER) SCOTT","skloberdanz","5mile",18000,6120,34%,1500,510,34%,0.000000,0.000000,,477.560000,131.640000,27.57%
"DE1019","ACTION AUTO SERVICE","159","KLOBERDANZ (PARKER) SCOTT","skloberdanz","5mile",14400,5184,36%,1200,432,36%,116.000000,3.000000,3.42%,625.280000,154.040000,24.64%
"DE1190","BRAKES PLUS #101","159","KLOBERDANZ (PARKER) SCOTT","skloberdanz","5mile",18000,6120,34%,1500,510,34%,196.000000,53.000000,27.20%,1217.310000,454.360000,37.32%
"PK1025","AUTO WAREHOUSE SALES & SERVICE","159","KLOBERDANZ (PARKER) SCOTT","skloberdanz","5mile",18000,6120,34%,1500,510,34%,47.000000,18.000000,37.92%,1856.030000,716.960000,38.63%
"PK2750","MEINEKE CAR CARE CENTER","159","KLOBERDANZ (PARKER) SCOTT","skloberdanz","5mile",24000,8400,35%,2000,700,35%,61.000000,14.000000,24.24%,193.230000,70.320000,36.39%
"DE3321","PRIDE AUTO CARE","159","KLOBERDANZ (PARKER) SCOTT","skloberdanz","5mile",42000,15120,36%,3500,1260,36%,49.000000,17.000000,35.88%,148.520000,49.120000,33.07%
"DE1619","EXCEL DIESEL & SUV","159","KLOBERDANZ (PARKER) SCOTT","skloberdanz","5mile",30000,10200,34%,2500,850,34%,175.000000,-50.000000,-28.50%,-411.900000,66.350000,-16.11%
"DE1195","BRAKES PLUS #137","159","KLOBERDANZ (PARKER) SCOTT","skloberdanz","5mile",18000,6120,34%,1500,510,34%,55.000000,14.000000,26.68%,124.900000,30.160000,24.15%
"DE1469","QUALITY MITSUBISHI","168","MARSOLEK MIKE","mmarsolek","5MILE",9600,3360,35%,800,280,35%,0.000000,0.000000,,0.000000,0.000000,
"DV1187","BRAKES PLUS INC. #133","168","MARSOLEK MIKE","mmarsolek","5MILE",1680,0,0,140,0,0,372.000000,127.000000,34.37%,186.140000,52.090000,27.98%
"FT1635","SND AUTOMOTIVE BRAKE","168","MARSOLEK MIKE","mmarsolek","5MILE",9600,3360,35%,800,280,35%,0.000000,0.000000,,0.000000,0.000000,
"DV2192","BRAKES PLUS #135","168","MARSOLEK MIKE","mmarsolek","5MILE",1800,0,0,150,0,0,99.000000,30.000000,30.58%,1012.950000,110.030000,10.86%
"DV1143","BRAKES PLUS #127","168","MARSOLEK MIKE","mmarsolek","5MILE",3000,0,0,250,0,0,258.000000,79.000000,30.94%,821.440000,165.660000,20.17%
"FT1020","ANTHONYS GOLD AUTO CARE, INC","168","MARSOLEK MIKE","mmarsolek","5MILE",6000,0,0,500,0,0,381.000000,128.000000,33.79%,480.420000,154.730000,32.21%
"DV1300","CHASE AUTOMOTIVE REPAIR SVS","168","MARSOLEK MIKE","mmarsolek","5MILE",9600,0,0,800,0,0,947.000000,294.000000,31.07%,963.370000,448.450000,46.55%
"DV2489","KEN'S AUTO SERVICE,INC.","168","MARSOLEK MIKE","mmarsolek","5MILE",9000,0,0,750,0,0,902.000000,265.000000,29.39%,1210.540000,443.750000,36.66%
"DV1912","GARY'S FULL SERVICE","168","MARSOLEK MIKE","mmarsolek","5MILE",18000,0,0,1500,0,0,1534.000000,402.000000,26.26%,1221.480000,459.800000,37.64%
"DV2384","JOHNNY GOOD INC.","168","MARSOLEK MIKE","mmarsolek","5mile",7200,0,0,600,0,0,533.000000,196.000000,36.92%,3119.810000,1258.360000,40.33%
"DV2303","JEREZ AUTO CENTER","168","MARSOLEK MIKE","mmarsolek","5MILE",0,0,0,0,0,0,5.000000,1.000000,37.54%,0.000000,0.000000,
"DV2830","MARGARITO'S GARAGE","168","MARSOLEK MIKE","mmarsolek","5MILE",0,0,0,0,0,0,324.000000,77.000000,23.84%,-136.820000,-28.290000,20.68%
"DV2996","NOVICK AUTOMOTIVE INC","168","MARSOLEK MIKE","mmarsolek","5MILE",9000,0,0,750,0,0,893.000000,222.000000,24.91%,558.620000,120.160000,21.51%
"DV3933","TAPPS GARAGE","168","MARSOLEK MIKE","mmarsolek","5MILE",1200,0,0,100,0,0,160.000000,38.000000,23.90%,263.040000,106.420000,40.46%
"DV1132","BIG O TIRES","168","MARSOLEK MIKE","mmarsolek","5MILE",0,0,0,0,0,0,0.000000,0.000000,,0.000000,0.000000,
"DV2975","NAM'S AUTOCARE,INC.","168","MARSOLEK MIKE","mmarsolek","5MILE",9600,3360,35%,800,280,35%,0.000000,0.000000,,0.000000,0.000000,
"DV2755","LOVELL'S AUTOMOTIVE","168","MARSOLEK MIKE","mmarsolek","5MILE",7800,0,0,650,0,0,541.000000,177.000000,32.70%,648.020000,230.490000,35.57%
"DV3914","TAPP AUTO SERVICE CENTRE","168","MARSOLEK MIKE","mmarsolek","5MILE",12000,0,0,1000,0,0,1031.000000,286.000000,27.79%,1061.530000,358.220000,33.75%
"FT1062","BIG O TIRE","168","MARSOLEK MIKE","mmarsolek","5MILE",0,0,0,0,0,0,0.000000,0.000000,,0.000000,0.000000,
"DV1301","CITYS BEST AUTO REPAIR","168","MARSOLEK MIKE","mmarsolek","5MILE",9600,3360,35%,800,280,35%,0.000000,0.000000,,0.000000,0.000000,
"DV2863","MEINEKE 847","168","MARSOLEK MIKE","mmarsolek","5MILE",0,0,0,0,0,0,107.000000,29.000000,27.56%,301.350000,111.870000,37.12%
"DV2369","J & J AFFORDABLE AUTOCARE","168","MARSOLEK MIKE","mmarsolek","5MILE",3600,0,0,300,0,0,10.000000,2.000000,26.89%,230.880000,98.450000,42.64%
"CS1133","AUTO CLINIC","170","MERCADO RICK","rmercado","5mile",0,0,0,0,0,0,1286.000000,376.000000,29.27%,1287.970000,491.400000,38.15%
"CS1660","CASCADE FIRESTONE","170","MERCADO RICK","rmercado","5mile",0,0,0,0,0,0,43.000000,14.000000,32.79%,26.700000,10.190000,38.16%
"CS2045","IMPORT SPECIALITY AUTO","170","MERCADO RICK","rmercado","5mile",0,0,0,0,0,0,371.000000,96.000000,25.96%,599.370000,213.070000,35.55%
"CS3310","PLATTE AVENUE TIRE & AUTO","170","MERCADO RICK","rmercado","5mile",0,0,0,0,0,0,242.000000,75.000000,31.40%,362.400000,130.290000,35.95%
"CS3775","STANLEY'S GARAGE INC.","170","MERCADO RICK","rmercado","5mile",0,0,0,0,0,0,513.000000,194.000000,37.86%,616.860000,253.850000,41.15%
"CS3608","REX TIRE INC.","170","MERCADO RICK","rmercado","5mile",0,0,0,0,0,0,368.000000,144.000000,39.13%,873.380000,388.770000,44.51%
"CS1029","AL DE MARK AUTO SERVICE","170","MERCADO RICK","rmercado","5MILE",0,0,0,0,0,0,3823.000000,837.000000,21.92%,2036.900000,623.480000,30.61%
"CS1026","AUTO HOUSE","170","MERCADO RICK","rmercado","5mile",0,0,0,0,0,0,434.000000,137.000000,31.55%,1529.500000,483.180000,31.59%
"CS1192","BRAKES PLUS #120","170","MERCADO RICK","rmercado","5mile",0,0,0,0,0,0,169.000000,51.000000,30.37%,126.960000,44.080000,34.72%
"CS1139","AUTO TRUCK SERVICES INC.","170","MERCADO RICK","rmercado","5mile",0,0,0,0,0,0,1035.000000,239.000000,23.09%,785.860000,260.360000,33.13%
"CS1050","ACADEMY AUTO SERVICE INC.","170","MERCADO RICK","rmercado","5mile",0,0,0,0,0,0,0.000000,0.000000,,146.660000,46.150000,31.47%
"CS2846","MEINEKE DISCOUNT MUFFLERS","170","MERCADO RICK","rmercado","5mile",0,0,0,0,0,0,0.000000,0.000000,,0.000000,0.000000,
"CS2843","MEINEKE CAR CARE CENTER","170","MERCADO RICK","rmercado","5mile",0,0,0,0,0,0,0.000000,0.000000,,0.000000,0.000000,
"CS1940","GOODYEAR AUTO CTR #8132","170","MERCADO RICK","rmercado","5mile",0,0,0,0,0,0,51.000000,17.000000,34.81%,43.980000,14.950000,33.99%
"CS1200","BRAKES PLUS #119","170","MERCADO RICK","rmercado","5mile",0,0,0,0,0,0,475.000000,115.000000,24.32%,113.260000,27.190000,24.01%
"CS1229","SPRINGS AUTO & TRUCK","170","MERCADO RICK","rmercado","5mile",0,0,0,0,0,0,131.000000,29.000000,22.75%,332.860000,135.290000,40.64%
"CS3917","HANK'S AUTO SERVICE","170","MERCADO RICK","rmercado","5mile",0,0,0,0,0,0,0.000000,-5.000000,,0.000000,0.000000,
"CS1138","AUTO TECH PLAZA","170","MERCADO RICK","rmercado","5MILE",0,0,0,0,0,0,1570.000000,459.000000,29.23%,1813.760000,773.960000,42.67%
"CS3785","STEVE MILLS RACING & ACR","170","MERCADO RICK","rmercado","5mile",0,0,0,0,0,0,984.000000,358.000000,36.43%,1176.040000,440.330000,37.44%
"CS3323","PREDATOR 4WD.LLC","170","MERCADO RICK","rmercado","5mile",0,0,0,0,0,0,119.000000,46.000000,39.23%,5.470000,28.160000,514.81%
"CS2369","SUMMIT AUTO","170","MERCADO RICK","rmercado","5MILE",0,0,0,0,0,0,42.000000,13.000000,32.32%,125.210000,38.370000,30.64%
"CS1468","GOOD GUYS AUTO","170","MERCADO RICK","rmercado","5mile",0,0,0,0,0,0,165.000000,62.000000,37.85%,1443.300000,508.310000,35.22%
"CS1146","AUTOMOTIVE REPAIR SPECIALISTS","170","MERCADO RICK","rmercado","5mile",0,0,0,0,0,0,169.000000,39.000000,23.51%,24.270000,11.160000,45.98%
"CS1146","AUTOMOTIVE REPAIR SPECIALISTS","170","MERCADO RICK","rmercado","5mile",0,0,0,0,0,0,169.000000,39.000000,23.51%,24.270000,11.160000,45.98%
"FT1712","TIM'S QUALITY AUTOMOTIVE","163","SODERQUIST VINCE","vsoderquist","5MILE",6000,2100,35%,500,175,35%,360.000000,128.000000,35.74%,243.990000,93.650000,38.38%
"DV2120","SHAMROCK AIRPORT EXPRESS","163","SODERQUIST VINCE","vsoderquist","5MILE",6000,2100,35%,500,175,35%,862.000000,194.000000,22.56%,709.500000,228.490000,32.20%
"FT1112","DIESEL SERVICES OF NO.COLORADO","163","SODERQUIST VINCE","vsoderquist","5MILE",6000,0,0,500,0,0,375.000000,52.000000,13.85%,-387.000000,0.000000,0.00%
"FT1220","KENNEDY AUTOMATIC TRANS","163","SODERQUIST VINCE","vsoderquist","5MILE",6000,2100,35%,500,175,35%,966.000000,298.000000,30.86%,2309.340000,884.160000,38.29%
"FT1185","GENUINE AUTOMOTIVE INC","163","SODERQUIST VINCE","vsoderquist","5MILE",6000,2100,35%,500,175,35%,1205.000000,352.000000,29.25%,168.230000,63.160000,37.54%
"FT1702","TERRYS MIDTOWN SERVICES","163","SODERQUIST VINCE","vsoderquist","5MILE",6000,2100,35%,500,175,35%,142.000000,46.000000,32.47%,752.940000,273.670000,36.35%
"DV2984","NELSEN'S AUTO TECH CENTER","163","SODERQUIST VINCE","vsoderquist","5MILE",6000,2100,35%,500,175,35%,694.000000,167.000000,24.19%,1404.880000,497.900000,35.44%
